continent,location,total_cases,new_cases,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population
Africa,Nigeria,100087,1024,4.844,6.424,0.038,,,,,,,,211400704
,North America,25783707,235402,394.585,925.946,4.553,7098885,7095943,2942,29868,1.19,1.19,0,596581283
Europe,North Macedonia,86494,344,165.173,1258.966,3.841,,,,,,,,2082661
Europe,Norway,55474,555,101.544,86.358,0,23581,23562,19,139,0.43,0.43,0,5465629
,Oceania,31724,22,0.509,21.865,0,,,,,,,,43219954
Asia,Oman,130608,538,102.999,288.702,0.574,15907,15907,,884,0.3,0.3,,5223376
Asia,Pakistan,504293,1877,8.335,47.407,0.142,,,,,,,,225199929
Asia,Palestine,147400,699,133.837,307.118,4.021,,,,,,,,5222756
North America,Panama,279196,2424,553.225,1016.756,11.183,,,,,,,,4381583
Oceania,Papua New Guinea,811,0,0,0.987,0,,,,,,,,9119005
South America,Paraguay,115733,707,97.927,333.258,2.493,,,,,,,,7219641
South America,Peru,1026180,0,0,2847.052,6.595,,,,,,,,33359415
Asia,Philippines,487690,1893,17.047,84.694,0.063,,,,,,,,111046910
Europe,Poland,1385522,9133,241.633,825.171,4.709,203053,203053,,3031,0.54,0.54,,37797000
Europe,Portugal,483689,7502,737.81,767.413,10.032,74392,74392,,40,0.73,0.73,,10167923
Asia,Qatar,145865,193,65.859,83.944,0,,,,,,,,2930524
Europe,Romania,671284,3082,161.127,870.671,3.241,108294,108294,,5993,0.57,0.57,,19127772
Europe,Russia,3366715,22540,154.477,417.807,3.016,,,,,,,,145912022
Africa,Rwanda,9630,169,12.729,9.039,0.151,,,,,,,,13276517
North America,Saint Kitts and Nevis,34,0,0,,,,,,,,,,53546
North America,Saint Lucia,438,0,0,27.115,0,,,,,,,,184401
North America,Saint Vincent and the Grenadines,249,24,215.693,,,,,,,,,,111269
Oceania,Samoa,2,0,0,,,,,,,,,,200144
Europe,San Marino,2650,22,646.869,1881.799,0,,,,,,,,34010
Africa,Sao Tome and Principe,1066,0,0,76.109,0,,,,,,,,223364
Asia,Saudi Arabia,363809,117,3.311,178.01,0.141,,,,,,,,35340680
Africa,Senegal,21245,245,14.247,27.041,0.349,,,,,,,,17196308
Europe,Serbia,359689,3564,515.907,518.512,9.988,9300,9300,,,0.13,0.13,,6908224
Africa,Seychelles,502,54,545.951,10.11,0,,,,,,,,98910
Africa,Sierra Leone,2834,31,3.808,9.458,0,,,,,,,,8141343
Asia,Singapore,58907,42,7.123,4.918,0,,,,,,,,5896684
Europe,Slovakia,208209,2973,544.433,534.361,15.016,28380,28380,,3045,0.52,0.52,,5460726
Europe,Slovenia,139281,763,367.052,1442.232,12.027,30415,30393,22,1,1.46,1.46,0,2078723
Oceania,Solomon Islands,17,0,0,,,,,,,,,,703995
Africa,Somalia,4726,0,0,7.946,0,,,,,,,,16359500
Africa,South Africa,1231597,17421,290.147,552.33,5.646,,,,,,,,60041996
,South America,13950087,61587,141.821,997.925,2.786,118252,10710,,1,0.03,0,,434260137
Asia,South Korea,69114,450,8.771,22.22,0.292,,,,,,,,51305184
Africa,South Sudan,3649,60,5.272,5.535,0,,,,,,,,11381377
Europe,Spain,2050360,0,0,1109.718,0,,,,,,,,46745211
Asia,Sri Lanka,48380,540,25.119,10.792,0.14,,,,,,,,21497306
Africa,Sudan,27494,1215,27.054,32.688,0,,,,,,,,44909351
South America,Suriname,7008,60,101.386,224.739,1.69,,,,,,,,591798
Europe,Sweden,489471,0,0,928.43,0,52856,52845,11,,0.52,0.52,0,10160159
Europe,Switzerland,477983,0,0,978.028,7.458,40436,39777,35,33,0.46,0.46,0,8715494
Asia,Syria,12364,90,4.925,42.351,0.328,,,,,,,,18275704
Asia,Taiwan,828,0,0,0.293,0,,,,,,,,23855008
Asia,Tajikistan,13707,1,0.103,9.334,0,,,,,,,,9749625
Africa,Tanzania,509,0,0,0.341,0,,,,,,,,61498438
Asia,Thailand,10547,249,3.56,0.958,0,,,,,,,,69950844
Asia,Timor,49,0,0,,,,,,,,,,1343875
Africa,Togo,3957,25,2.949,8.492,0,,,,,,,,8478242
North America,Trinidad and Tobago,7265,21,14.964,91.209,0,,,,,,,,1403374
Africa,Tunisia,159276,1762,147.624,436.922,5.194,,,,,,,,11935764
Asia,Turkey,2326256,9138,107.452,268.183,2.07,,,,,,,,85042736
North America,Turks and Caicos Islands,,,,,,0,0,,,0,0,,39226
Africa,Uganda,37742,188,3.99,6.387,0,,,,,,,,47123533
Europe,Ukraine,1150265,5322,122.438,474.868,2.646,,,,,,,,43466822
Asia,United Arab Emirates,230578,2876,287.857,70.863,0.601,1086568,836568,250000,66219,10.88,8.37,2.5,9991083
Europe,United Kingdom,3081372,55026,806.749,1195.872,8.313,2677971,2286572,391399,,3.93,3.35,0.57,68207114
North America,United States,22551280,212699,638.899,1145.208,6.065,,,,,,,,332915074
South America,Uruguay,26186,1212,347.761,73.454,2.295,,,,,,,,3485152
Asia,Uzbekistan,77572,42,1.238,18.181,0.029,,,,,,,,33935765
Oceania,Vanuatu,1,0,0,,,,,,,,,,314464
Europe,Vatican,27,0,0,,,,,,,,,,812
South America,Venezuela,116610,438,15.259,36.962,0,,,,,,,,28704947
Asia,Vietnam,1514,1,0.01,0.357,0,,,,,,,,98168829
,World,90432846,588076,74.677,253.879,1.102,25768419,15789342,652255,1614007,0.33,0.2,0.01,7874965730
Asia,Yemen,2104,0,0,20.039,0.033,,,,,,,,30490639
Africa,Zambia,27728,1161,61.362,24.788,0.264,,,,,,,,18920657
Africa,Zimbabwe,21477,978,64.802,33.594,1.59,,,,,,,,15092171
