continent,location,total_cases,new_cases,total_cases_per_million,new_cases_per_million,stringency_index,population,handwashing_facilities
Africa,Niger,6042,0,240.422,0,19.44,25130810,8.978
Africa,Nigeria,206279,141,975.773,0.667,,211400704,41.949
,North America,52742447,194984,88407.814,326.836,,596581283,
Europe,North Macedonia,192654,176,92503.773,84.507,,2082661,
Europe,Norway,191017,484,34948.768,88.553,20.37,5465629,
,Oceania,192504,2797,4454.054,64.715,,43219954,
Asia,Oman,303769,0,58155.683,0,29.63,5223376,97.4
Asia,Pakistan,1252656,1308,5562.417,5.808,43.98,225199929,59.607
Oceania,Palau,5,0,275.118,0,,18174,
Asia,Palestine,408211,1559,78160.075,298.501,,5222756,
North America,Panama,467861,121,106778.988,27.616,73.61,4381583,
Oceania,Papua New Guinea,21032,360,2306.392,39.478,42.59,9119005,
South America,Paraguay,460061,39,63723.529,5.402,,7219641,79.602
South America,Peru,2178939,0,65317.063,0,68.52,33359415,
Asia,Philippines,2604040,10641,23449.91,95.824,71.76,111046910,78.463
Europe,Poland,2911549,683,77031.219,18.07,38.89,37797000,
Europe,Portugal,1071307,193,105361.439,18.981,47.22,10167923,
Asia,Qatar,236990,77,80869.496,26.275,55.56,2930524,
Europe,Romania,1274119,8292,66610.947,433.506,55.56,19127772,
Europe,Russia,7500000,25150,51400.837,172.364,54.17,145912022,
Africa,Rwanda,97951,81,7377.763,6.101,,13276517,4.617
North America,Saint Kitts and Nevis,2037,43,38042.057,803.048,,53546,
North America,Saint Lucia,11693,0,63410.719,0,,184401,87.202
North America,Saint Vincent and the Grenadines,3776,100,33935.777,898.723,,111269,
Oceania,Samoa,3,0,14.989,0,,200144,
Europe,San Marino,5444,4,160070.567,117.612,50,34010,
Africa,Sao Tome and Principe,3536,1,15830.662,4.477,,223364,41.34
Asia,Saudi Arabia,547134,0,15481.706,0,43.52,35340680,
Africa,Senegal,73802,2,4291.735,0.116,19.44,17196308,20.859
Europe,Serbia,966989,5983,139976.498,866.069,47.22,6908224,97.719
Africa,Seychelles,21556,49,217935.497,495.4,67.59,98910,
Africa,Sierra Leone,6396,0,785.62,0,29.63,8141343,19.275
Asia,Singapore,106318,2475,18030.134,419.727,50.93,5896684,
North America,Sint Maarten (Dutch part),,,,,,43421,
Europe,Slovakia,416260,267,76227.959,48.895,34.72,5460726,
Europe,Slovenia,296083,225,142435.043,108.24,35.19,2078723,
Oceania,Solomon Islands,20,0,28.409,0,27.78,703995,35.89
Africa,Somalia,20577,0,1257.801,0,35.19,16359500,9.831
Africa,South Africa,2906851,429,48413.63,7.145,45.37,60041996,43.993
,South America,37849125,14566,87157.724,33.542,,434260137,
Asia,South Korea,321352,1575,6263.539,30.699,47.22,51305184,
Africa,South Sudan,12041,0,1057.956,0,16.67,11381377,
Europe,Spain,4965399,4271,106222.625,91.368,42.13,46745211,
Asia,Sri Lanka,521218,786,24245.736,36.563,61.11,21497306,
Africa,Sudan,38345,62,853.831,1.381,13.89,44909351,23.437
South America,Suriname,42716,431,72180.034,728.289,47.22,591798,67.779
Europe,Sweden,1153655,0,113546.944,0,19.44,10160159,
Europe,Switzerland,844209,2636,96863.012,302.45,46.3,8715494,
Asia,Syria,35266,346,1929.666,18.932,23.15,18275704,70.598
Asia,Taiwan,16255,5,681.408,0.21,38.43,23855008,
Asia,Tajikistan,17484,0,1793.3,0,29.63,9749625,72.704
Africa,Tanzania,25846,0,420.271,0,13.89,61498438,47.953
Asia,Thailand,1647362,9930,23550.281,141.957,55.09,69950844,90.67
Asia,Timor,19592,10,14578.737,7.441,46.3,1343875,28.178
Africa,Togo,25586,51,3017.843,6.015,38.89,8478242,10.475
Oceania,Tokelau,,,,,,1368,
Oceania,Tonga,,,,,,106759,
North America,Trinidad and Tobago,51387,144,36616.754,102.61,83.33,1403374,89.443
Africa,Tunisia,708203,220,59334.534,18.432,28.7,11935764,78.687
Asia,Turkey,7267047,28810,85451.707,338.771,,85042736,
North America,Turks and Caicos Islands,,,,,,39226,
Africa,Uganda,124039,63,2632.209,1.337,,47123533,21.222
Europe,Ukraine,2572327,5452,59179.091,125.429,58.33,43466822,
Asia,United Arab Emirates,736897,189,73755.468,18.917,39.35,9991083,
Europe,United Kingdom,7972312,34502,116883.878,505.842,41.2,68207114,
North America,United States,43852255,169207,131722.047,508.259,61.57,332915074,
South America,Uruguay,389260,75,111690.968,21.52,52.78,3485152,
Asia,Uzbekistan,175715,448,5177.871,13.201,48.15,33935765,
Oceania,Vanuatu,4,0,12.72,0,16.67,314464,25.209
Europe,Vatican,27,0,33251.232,0,,812,
South America,Venezuela,373332,0,13005.842,0,,28704947,
Asia,Vietnam,813961,5383,8291.44,54.834,67.13,98168829,85.847
Oceania,Wallis and Futuna,,,,,,11094,
,World,235408191,458454,29893.234,58.217,,7874965730,60.13
Asia,Yemen,9214,75,302.191,2.46,,30490639,49.542
Africa,Zambia,209172,9,11055.219,0.476,,18920657,13.938
Africa,Zimbabwe,131129,0,8688.545,0,47.22,15092171,36.791
